lsoa_code,betting_shop_count
E01000005,1
E01000007,1
E01000009,2
E01000013,1
E01000020,1
E01000021,1
E01000035,1
E01000045,3
E01000052,1
E01000053,1
E01000057,1
E01000062,1
E01000064,1
E01000069,1
E01000070,2
E01000072,1
E01000077,1
E01000084,2
E01000093,1
E01000098,1
E01000101,1
E01000105,1
E01000108,1
E01000113,3
E01000116,1
E01000117,1
E01000129,1
E01000146,7
E01000162,1
E01000171,1
E01000174,1
E01000181,3
E01000192,3
E01000194,1
E01000230,1
E01000233,1
E01000235,1
E01000237,1
E01000243,1
E01000245,2
E01000250,3
E01000257,1
E01000264,4
E01000268,1
E01000274,1
E01000281,1
E01000296,2
E01000298,4
E01000299,2
E01000313,1
E01000314,1
E01000321,3
E01000323,1
E01000333,1
E01000336,1
E01000343,1
E01000347,2
E01000350,1
E01000352,2
E01000358,1
E01000360,1
E01000365,1
E01000385,1
E01000392,1
E01000394,1
E01000403,2
E01000414,2
E01000439,1
E01000457,1
E01000472,1
E01000477,1
E01000487,3
E01000499,1
E01000510,4
E01000515,1
E01000516,3
E01000519,1
E01000521,2
E01000523,1
E01000524,1
E01000536,1
E01000543,2
E01000544,1
E01000545,3
E01000548,2
E01000553,1
E01000556,2
E01000564,1
E01000575,1
E01000583,2
E01000586,2
E01000591,2
E01000592,1
E01000594,1
E01000608,3
E01000617,1
E01000620,1
E01000621,1
E01000623,1
E01000625,1
E01000632,2
E01000633,4
E01000640,2
E01000642,3
E01000668,1
E01000676,3
E01000685,1
E01000687,1
E01000692,1
E01000703,1
E01000705,1
E01000714,2
E01000727,1
E01000729,1
E01000756,1
E01000765,1
E01000774,1
E01000777,1
E01000779,1
E01000782,1
E01000790,2
E01000799,2
E01000806,1
E01000807,3
E01000827,1
E01000835,1
E01000855,1
E01000861,1
E01000863,3
E01000869,1
E01000872,1
E01000883,1
E01000896,1
E01000903,1
E01000904,1
E01000914,3
E01000927,1
E01000928,2
E01000930,2
E01000939,1
E01000943,1
E01000944,1
E01000947,2
E01000956,1
E01000960,1
E01000961,1
E01000973,1
E01000976,1
E01000983,1
E01000986,1
E01000993,1
E01001008,1
