lsoa_code,theft_count,shoplifting_count,theft_from_person_count,bicycle_theft_count,other_theft_count
E01000001,96,15,38,3,40
E01000002,319,109,93,37,80
E01000003,34,0,16,5,13
E01000005,423,132,72,19,200
E01000006,12,0,1,0,11
E01000007,95,0,60,6,29
E01000008,90,53,4,0,33
E01000009,49,4,16,2,27
E01000011,8,1,0,0,7
E01000012,56,5,4,3,44
E01000013,76,15,27,2,32
E01000014,16,0,2,0,14
E01000015,10,0,2,0,8
E01000016,15,3,1,0,11
E01000017,10,0,1,0,9
E01000018,1,0,0,0,1
E01000019,10,0,1,1,8
E01000020,12,1,3,0,8
E01000021,13,1,3,0,9
E01000022,9,0,1,0,8
E01000024,12,0,3,0,9
E01000025,7,0,2,0,5
E01000027,21,0,5,0,16
E01000028,8,0,1,0,7
E01000029,10,1,0,1,8
E01000030,24,6,2,1,15
E01000031,15,2,0,0,13
E01000032,84,44,15,2,23
E01000033,9,2,1,0,6
E01000034,12,0,4,0,8
E01000035,25,8,4,0,13
E01000036,44,23,7,0,14
E01000037,5,0,1,0,4
E01000038,20,7,7,0,6
E01000039,4,0,2,0,2
E01000040,19,1,6,0,12
E01000041,10,0,1,0,9
E01000042,22,0,8,1,13
E01000043,9,0,0,0,9
E01000044,11,0,5,0,6
E01000045,97,20,6,0,71
E01000046,15,0,4,0,11
E01000049,46,0,5,1,40
E01000050,14,1,3,0,10
E01000051,15,0,3,0,12
E01000052,9,0,3,1,5
E01000053,18,5,2,0,11
E01000054,11,0,0,0,11
E01000055,8,0,1,0,7
E01000056,12,0,2,0,10
E01000057,116,98,5,2,11
E01000058,11,0,1,1,9
E01000059,13,0,1,1,11
E01000060,49,5,6,3,35
E01000061,23,2,8,1,12
E01000062,30,4,5,0,21
E01000063,6,0,0,1,5
E01000064,24,5,3,0,16
E01000065,9,0,1,0,8
E01000066,7,0,1,0,6
E01000067,10,1,2,0,7
E01000068,43,0,20,2,21
E01000069,16,0,2,1,13
E01000070,110,78,8,4,20
E01000071,33,0,6,0,27
E01000072,34,17,7,0,10
E01000073,8,0,1,0,7
E01000074,12,0,2,0,10
E01000075,20,1,7,2,10
E01000076,10,0,1,0,9
E01000077,5,0,0,0,5
E01000078,15,0,2,1,12
E01000079,10,0,4,1,5
E01000080,4,0,1,0,3
E01000081,14,0,2,0,12
E01000082,234,223,1,0,10
E01000083,9,0,1,0,8
E01000084,7,0,1,0,6
E01000085,14,2,1,0,11
E01000086,9,1,1,0,7
E01000087,41,24,3,2,12
E01000088,16,1,3,0,12
E01000089,5,0,2,0,3
E01000090,29,0,4,2,23
E01000091,16,0,2,0,14
E01000093,20,2,7,0,11
E01000094,20,1,4,0,15
E01000095,250,152,18,14,66
E01000096,15,1,4,1,9
E01000097,7,0,4,0,3
E01000098,20,7,1,0,12
E01000099,24,4,3,3,14
E01000100,16,0,1,1,14
E01000101,170,144,8,4,14
E01000102,9,0,2,1,6
E01000103,10,0,1,0,9
E01000104,33,1,6,1,25
E01000105,166,107,14,4,41
E01000106,17,0,3,0,14
E01000107,8,0,2,0,6
E01000108,24,4,6,0,14
E01000110,20,1,2,0,17
E01000111,19,2,3,1,13
E01000112,14,4,4,0,6
E01000113,17,1,1,0,15
E01000114,21,6,4,0,11
E01000115,2,0,1,0,1
E01000116,12,2,3,0,7
E01000117,4,0,0,0,4
E01000118,13,4,0,0,9
E01000119,8,0,1,0,7
E01000120,1,0,1,0,0
E01000121,10,0,2,0,8
E01000122,2,1,1,0,0
E01000123,9,1,0,0,8
E01000124,121,101,2,0,18
E01000126,13,1,2,0,10
E01000127,3,0,1,1,1
E01000128,18,0,4,2,12
E01000129,68,32,10,4,22
E01000130,10,0,3,0,7
E01000131,15,0,2,2,11
E01000132,12,0,1,1,10
E01000133,6,0,0,1,5
