lsoa_code,lsoa_name,lsoa21nmw,bng_e,bng_n,lat,long,global_id,local_authority,area_km2,betting_shop_count,imd_score,imd_rank,imd_decile,income_score,income_rank,income_decile,population,shoplifting_rate_1000,theft_from_person_rate_1000,betting_shops_1000,betting_shop_density_km2,population_density,log_population,theft_count,shoplifting_count,theft_from_person_count,bicycle_theft_count,other_theft_count,theft_rate_1000
E01000001,City of London 001A,NA,532123,181632,51.51816940307617,-0.09714999794960022,{C625AEA8-6D73-4B2A-BE76-4D5C44CAD9F8},City of London,0.129865314434864,0,8.742,26525,8,0.013,33730,10,2172,7.366482504604051,17.955801104972377,0,0,16725.020144539067,7.683403681053826,96,15,38,3,40,44.19889502762431
E01000002,City of London 001B,NA,532480,181715,51.518829345703125,-0.09196999669075012,{52C878E9-AC68-4886-B4A8-FEA9CD241A70},City of London,0.22841978230402152,0,4.722,31203,10,0.018,33669,10,2044,55.28375733855186,46.96673189823875,0,0,8948.436862090528,7.622663951323595,319,109,93,37,80,156.0665362035225
E01000003,City of London 001C,NA,532239,182033,51.5217399597168,-0.09532999992370604,{B9D8FACA-D489-478D-8CE6-ACAF76186D7D},City of London,0.05905420461077709,0,9.25,25913,8,0.107,25167,8,2444,0,6.546644844517186,0,0,41385.70684523253,7.801391320291485,34,0,16,5,13,13.911620294599018
E01000005,City of London 001E,NA,533581,181283,51.51469039916992,-0.07627999782562256,{15E1417D-537C-4845-9820-FC7596BD59B0},City of London,0.1895777094931854,1,19.884,14807,5,0.211,14836,5,2391,55.62526139690506,30.53115851108323,0.4182350480970305,5.274881749934563,12612.24226409354,7.779466967458324,423,132,72,19,200,176.91342534504392
E01000006,Barking and Dagenham 016A,NA,544994,184274,51.53874969482422,0.08931700140237808,{8A6C4EE0-C0FF-4736-9CFA-FB12A6D50DA0},Barking and Dagenham,0.14653699571944867,0,25.307,10917,4,0.343,7519,3,1930,0,0.5181347150259067,0,0,13170.735420938116,7.5652752818989315,12,0,1,0,11,6.217616580310881
E01000007,Barking and Dagenham 015A,NA,544187,184455,51.54058074951172,0.07776299864053726,{F3A272BC-997F-426F-A102-F938CFE2478A},Barking and Dagenham,0.20009399270623152,1,37.217,5377,2,0.486,2857,1,3080,0,19.48051948051948,0.3246753246753247,4.997651286154064,15392.765961354518,8.03268487596762,95,0,60,6,29,30.844155844155843
E01000008,Barking and Dagenham 015B,NA,543575,184273,51.539100646972656,0.06887099891901016,{7776B8B7-CEFB-4078-A95D-5A0A31E96B32},Barking and Dagenham,0.19364648092763775,0,40.726,4400,2,0.51,2309,1,1805,29.36288088642659,2.21606648199446,0,0,9321.10922622186,7.498315870766981,90,53,4,0,33,49.86149584487535
E01000009,Barking and Dagenham 016B,NA,544587,184430,51.540260314941406,0.08351700007915497,{9A4A3D9D-0469-4840-A607-22BD3733ECEB},Barking and Dagenham,0.12795992747249216,2,39.153,4812,2,0.403,5235,2,1880,2.127659574468085,8.51063829787234,1.0638297872340423,15.629893197852466,14692.099605981315,7.539027055823995,49,4,16,2,27,26.06382978723404
E01000011,Barking and Dagenham 016C,NA,544409,184734,51.54302978515625,0.08107700198888779,{16714B0F-533A-4BB5-BF56-FDB2D341CAB8},Barking and Dagenham,0.09163228152545028,0,36.767,5535,2,0.421,4637,2,1738,0.5753739930955121,0,0,0,18967.114766396833,7.460490305825338,8,1,0,0,7,4.602991944764097
E01000012,Barking and Dagenham 015D,NA,543892,184714,51.542991638183594,0.07361800223588943,{7C0376CF-8CF2-4FAF-BC79-00D0E1C1F181},Barking and Dagenham,0.140428562055544,0,37.53,5278,2,0.494,2650,1,2474,2.021018593371059,1.6168148746968471,0,0,17617.49863266031,7.813591552952433,56,5,4,3,44,22.63540824575586
E01000013,Barking and Dagenham 013A,NA,549152,184943,51.543678283691406,0.14951099455356598,{8E4ED521-0BBF-489F-AE73-E09F1EDC1F11},Barking and Dagenham,0.20782995947018032,1,31.914,7410,3,0.387,5785,2,1973,7.602635580334516,13.684744044602128,0.5068423720223011,4.811625824059698,9493.337750869783,7.587310506022615,76,15,27,2,32,38.52002027369488
E01000014,Barking and Dagenham 013B,NA,548350,184922,51.543701171875,0.1379449963569641,{59998A36-2438-478E-AD53-E3AB48289BF6},Barking and Dagenham,0.3412192234008565,0,28.117,9243,3,0.309,9095,3,1789,0,1.1179429849077698,0,0,5242.963694042302,7.489412083508719,16,0,2,0,14,8.943543879262158
E01000015,Barking and Dagenham 009A,NA,549586,184971,51.543819427490234,0.1557770073413849,{F89D4854-26AB-4B80-A3D3-EBBD7647758B},Barking and Dagenham,0.28062957093897184,0,30.328,8120,3,0.415,4836,2,2501,0,0.7996801279488205,0,0,8912.104279074316,7.824445930877619,10,0,2,0,8,3.9984006397441023
E01000016,Barking and Dagenham 009B,NA,549117,185496,51.54866027832031,0.14924100041389465,{94722947-7F72-4888-A4BD-8CBFEC966F02},Barking and Dagenham,0.1987751146310644,0,26.475,10202,4,0.348,7271,3,1900,1.5789473684210529,0.5263157894736842,0,0,9558.54058253965,7.549609165154532,15,3,1,0,11,7.894736842105264
E01000017,Barking and Dagenham 009C,NA,548925,185514,51.54887008666992,0.1464810073375702,{2DD980DD-4975-4305-92A7-98E131E84BCB},Barking and Dagenham,0.15837185701857834,0,31.808,7452,3,0.4,5324,2,1781,0,0.5614823133071308,0,0,11245.68489331456,7.484930283289661,10,0,1,0,9,5.614823133071308
E01000018,Barking and Dagenham 009D,NA,549360,185259,51.54645919799805,0.15264199674129486,{CADD92AF-8B92-4E77-B700-21A6F07D77CB},Barking and Dagenham,0.1739806195304899,0,29.964,8300,3,0.382,5974,2,1807,0,0,0,0,10386.214308676635,7.499423290592229,1,0,0,0,1,0.5534034311012728
E01000019,Barking and Dagenham 023A,NA,547104,186502,51.55821990966797,0.1206500008702278,{107FB57B-1EBA-4E42-BCC2-3EE2E3341EC8},Barking and Dagenham,0.18307698711331863,0,30.661,7965,3,0.414,4876,2,1722,0,0.5807200929152149,0,0,9405.879062965672,7.451241684987676,10,0,1,1,8,5.807200929152149
E01000020,Barking and Dagenham 023B,NA,547400,186420,51.557411193847656,0.12488199770450592,{6D44E0D5-EA64-4307-9783-05F2B0F6FF35},Barking and Dagenham,0.18723702292679925,1,30.021,8264,3,0.333,7989,3,2225,0.44943820224719105,1.348314606741573,0.44943820224719105,5.340824076181517,11883.333569503871,7.707512194600341,12,1,3,0,8,5.393258426966292
E01000021,Barking and Dagenham 008A,NA,546830,186063,51.554351806640625,0.11651699990034103,{3C9AEFC1-C75D-4927-8182-E12FC150AF27},Barking and Dagenham,0.1701527706530979,1,37.877,5192,2,0.458,3571,2,1778,0.562429696287964,1.687289088863892,0.562429696287964,5.877071505575237,10449.43313691277,7.48324441607385,13,1,3,0,9,7.311586051743532
E01000022,Barking and Dagenham 008B,NA,547191,186049,51.55413055419922,0.1217150017619133,{3099EE2B-CDA8-489A-A6F1-B6947F0F8E82},Barking and Dagenham,0.1282629955504313,0,30.488,8043,3,0.387,5786,2,1508,0,0.6631299734748011,0,0,11757.093256153326,7.318539548567902,9,0,1,0,8,5.968169761273209
E01000024,Barking and Dagenham 008D,NA,547218,185700,51.55099105834961,0.12195800244808196,{FB41F2E5-F204-4841-9023-91B767D2D349},Barking and Dagenham,0.12863521643007175,0,29.683,8426,3,0.371,6392,2,1531,0,1.959503592423253,0,0,11901.872927871796,7.333676395657684,12,0,3,0,9,7.838014369693012
E01000025,Barking and Dagenham 008E,NA,546897,185519,51.5494499206543,0.11725600063800812,{10DB2401-0976-4417-BA02-AA6370FE4366},Barking and Dagenham,0.15335204029229116,0,29.84,8359,3,0.377,6163,2,1967,0,1.0167768174885612,0,0,12826.69598820381,7.584264818389059,7,0,2,0,5,3.558718861209964
E01000027,Barking and Dagenham 001A,NA,548428,190177,51.59090042114258,0.1412860006093979,{7DAF0A01-68C2-4784-9878-D367DF92DD10},Barking and Dagenham,1.474526720670798,0,33.245,6841,3,0.402,5267,2,2188,0,2.2851919561243146,0,0,1483.8659546329725,7.690743163541872,21,0,5,0,16,9.597806215722121
E01000028,Barking and Dagenham 001B,NA,547673,189650,51.58636093139648,0.13017399609088898,{524E6490-4308-4B26-8104-CEDD7A5D62DA},Barking and Dagenham,0.1438908218094958,0,35.4,6021,2,0.444,3949,2,1837,0,0.5443658138268918,0,0,12766.623867310282,7.515889085215125,8,0,1,0,7,4.354926510615134
E01000029,Barking and Dagenham 001C,NA,547983,188927,51.57978057861328,0.13434000313282013,{5ABA6BDF-9A39-4B76-9F11-B332A3C0E31F},Barking and Dagenham,0.25687714185097005,0,19.077,15432,5,0.196,16002,5,2079,0.48100048100048104,0,0,0,8093.363173614543,7.639642287858013,10,1,0,1,8,4.81000481000481
E01000030,Barking and Dagenham 001D,NA,548065,189260,51.582759857177734,0.1356630027294159,{69B3DEE2-F00C-4F66-AEDE-8EE8E52E98F2},Barking and Dagenham,0.2862659800586225,0,34.554,6345,2,0.419,4719,2,2716,2.2091310751104567,0.7363770250368188,0,0,9487.679952203222,7.906915488678587,24,6,2,1,15,8.836524300441827
E01000031,Barking and Dagenham 002A,NA,548607,189077,51.58097076416016,0.14340299367904663,{55DEC070-6066-492D-9054-32EC79C378CD},Barking and Dagenham,0.843421220760078,0,21.003,13927,5,0.246,12560,4,1985,1.0075566750629723,0,0,0,2353.5096712543577,7.59337419312129,15,2,0,0,13,7.556675062972292
E01000032,Barking and Dagenham 002B,NA,548006,188376,51.5748291015625,0.13444000482559204,{19E5CD66-2C22-4E5A-823D-F8621D1DFBE2},Barking and Dagenham,0.3754349560820333,0,26.712,10040,3,0.321,8514,3,2181,20.17423200366804,6.87757909215956,0,0,5809.261936502916,7.687538766201629,84,44,15,2,23,38.514442916093536
E01000033,Barking and Dagenham 006A,NA,549985,186183,51.55459976196289,0.1620420068502426,{0F876A92-6A65-4985-8EC6-B754B80EA3AD},Barking and Dagenham,0.145321725337628,0,33.537,6743,2,0.464,3380,2,1568,1.2755102040816326,0.6377551020408163,0,0,10789.852627726816,7.357556200910353,9,2,1,0,6,5.7397959183673475
E01000034,Barking and Dagenham 003A,NA,550689,186433,51.55665969848633,0.17229600250720978,{58917648-4712-4278-A7CC-7F73CBFD472A},Barking and Dagenham,0.5136591081418442,0,28.583,8994,3,0.337,7765,3,1641,0,2.4375380865326024,0,0,3194.725789904317,7.403061091090091,12,0,4,0,8,7.312614259597806
E01000035,Barking and Dagenham 010A,NA,549957,185575,51.54914855957031,0.16137999296188354,{F0FEC07C-F0C3-4E33-954A-098F765384B1},Barking and Dagenham,0.3971614166582714,1,29.504,8514,3,0.339,7702,3,1925,4.1558441558441555,2.0779220779220777,0.5194805194805194,2.517867945013469,4846.895794150928,7.562681246721884,25,8,4,0,13,12.987012987012989
E01000036,Barking and Dagenham 010B,NA,550645,185231,51.54587173461914,0.17114800214767456,{98A0FF78-6FDA-4645-BF20-D4E46F8AF874},Barking and Dagenham,0.41868829672429686,0,25.385,10874,4,0.304,9324,3,1513,15.20158625247852,4.626569729015202,0,0,3613.666806159378,7.321849713788356,44,23,7,0,14,29.081295439524126
